transaction_id,timestamp,type,asset,quantity,price_usd,fee,note
TX-INT-1015,2023-10-01T01:15:00Z,SELL,DOT,73.2033,39288.33,0.0,Internal SELL DOT
TX-INT-1016,2023-10-01T01:20:00Z,TRANSFER_IN,DOT,2.7358,7755.65,0.0,Internal TRANSFER_IN DOT
TX-INT-1017,2023-10-01T01:25:00Z,SELL,USDT,9.9613,8075.08,0.0,Internal SELL USDT
TX-INT-1018,2023-10-01T01:30:00Z,SELL,USDT,80.2786,9909.78,0.0,Internal SELL USDT
TX-INT-1019,2023-10-01T01:35:00Z,BUY,SOL,67.4124,12525.96,0.0,Internal BUY SOL
TX-INT-1020,2023-10-01T01:40:00Z,BUY,ADA,24.7021,3707.87,0.0,Internal BUY ADA
TX-INT-1021,2023-10-01T01:45:00Z,BUY,DOT,23.9934,32843.39,0.0,Internal BUY DOT
TX-INT-1022,2023-10-01T01:50:00Z,TRANSFER_IN,ETH,20.155,16789.61,0.0,Internal TRANSFER_IN ETH
TX-INT-1023,2023-10-01T01:55:00Z,SELL,SOL,68.4671,40879.12,0.0,Internal SELL SOL
TX-INT-1025,2023-10-01T02:05:00Z,SELL,USDT,36.6535,46691.56,0.0,Internal SELL USDT
TX-INT-1026,2023-10-01T02:10:00Z,TRANSFER_IN,SOL,24.9933,7103.45,0.0,Internal TRANSFER_IN SOL
TX-INT-1027,2023-10-01T02:15:00Z,BUY,SOL,51.3343,18835.72,0.0,Internal BUY SOL
TX-INT-1028,2023-10-01T02:20:00Z,SELL,SOL,96.3193,13409.31,0.0,Internal SELL SOL
TX-INT-1029,2023-10-01T02:25:00Z,SELL,SOL,50.2493,24238.82,0.0,Internal SELL SOL
TX-INT-1030,2023-10-01T02:30:00Z,BUY,ADA,65.5592,31891.4,0.0,Internal BUY ADA
TX-INT-1031,2023-10-01T02:35:00Z,TRANSFER_IN,ADA,97.2913,16110.12,0.0,Internal TRANSFER_IN ADA
TX-INT-1032,2023-10-01T02:40:00Z,TRANSFER_IN,DOT,77.3361,13696.92,0.0,Internal TRANSFER_IN DOT
TX-INT-1033,2023-10-01T02:45:00Z,SELL,USDT,43.0774,19127.81,0.0,Internal SELL USDT
TX-INT-1034,2023-10-01T02:50:00Z,SELL,DOT,43.1773,2627.7,0.0,Internal SELL DOT
TX-INT-1035,2023-10-01T02:55:00Z,BUY,DOT,50.4894,32954.04,0.0,Internal BUY DOT
TX-INT-1036,2023-10-01T03:00:00Z,SELL,BTC,70.0526,14000.85,0.0,Internal SELL BTC
TX-INT-1037,2023-10-01T03:05:00Z,SELL,ADA,29.5082,4600.06,0.0,Internal SELL ADA
TX-INT-1038,2023-10-01T03:10:00Z,BUY,ETH,26.2753,12814.07,0.0,Internal BUY ETH
TX-INT-1039,2023-10-01T03:15:00Z,TRANSFER_IN,ETH,70.776,9340.7,0.0,Internal TRANSFER_IN ETH
TX-INT-1040,2023-10-01T03:20:00Z,TRANSFER_OUT,BTC,5.1643,34109.99,0.0,Internal TRANSFER_OUT BTC
TX-INT-1041,2023-10-01T03:25:00Z,SELL,USDT,52.8404,18322.48,0.0,Internal SELL USDT
TX-INT-1042,2023-10-01T03:30:00Z,SELL,USDT,28.9947,9794.16,0.0,Internal SELL USDT
TX-INT-1043,2023-10-01T03:35:00Z,TRANSFER_OUT,DOT,32.6446,12943.05,0.0,Internal TRANSFER_OUT DOT
TX-INT-1044,2023-10-01T03:40:00Z,TRANSFER_IN,SOL,1.2235,24234.37,0.0,Internal TRANSFER_IN SOL
TX-INT-1045,2023-10-01T03:45:00Z,TRANSFER_IN,ADA,36.7691,18282.8,0.0,Internal TRANSFER_IN ADA
TX-INT-1047,2023-10-01T03:55:00Z,TRANSFER_IN,BTC,43.0633,42939.41,0.0,Internal TRANSFER_IN BTC
TX-INT-1048,2023-10-01T04:00:00Z,SELL,USDT,15.061,39146.5,0.0,Internal SELL USDT
TX-INT-1049,2023-10-01T04:05:00Z,SELL,DOT,29.4768,49532.24,0.0,Internal SELL DOT
TX-INT-1050,2023-10-01T04:10:00Z,TRANSFER_IN,ADA,37.7437,2631.79,0.0,Internal TRANSFER_IN ADA
TX-INT-1051,2023-10-01T04:15:00Z,BUY,SOL,8.5182,11085.79,0.0,Internal BUY SOL
TX-INT-1052,2023-10-01T04:20:00Z,TRANSFER_IN,ADA,60.6045,44462.22,0.0,Internal TRANSFER_IN ADA
TX-INT-1053,2023-10-01T04:25:00Z,TRANSFER_IN,ADA,57.6036,41337.98,0.0,Internal TRANSFER_IN ADA
TX-INT-1054,2023-10-01T04:30:00Z,TRANSFER_IN,ETH,66.8306,16399.84,0.0,Internal TRANSFER_IN ETH
TX-INT-1055,2023-10-01T04:35:00Z,SELL,ETH,59.5207,21512.21,0.0,Internal SELL ETH
TX-INT-1056,2023-10-01T04:40:00Z,SELL,SOL,3.2173,58.73,0.0,Internal SELL SOL
TX-INT-1057,2023-10-01T04:45:00Z,TRANSFER_IN,USDT,99.6596,32397.78,0.0,Internal TRANSFER_IN USDT
TX-INT-1058,2023-10-01T04:50:00Z,TRANSFER_IN,ETH,98.9245,20647.4,0.0,Internal TRANSFER_IN ETH
TX-INT-1059,2023-10-01T04:55:00Z,SELL,ETH,51.9786,44894.61,0.0,Internal SELL ETH
TX-INT-1060,2023-10-01T05:00:00Z,BUY,USDT,47.7711,47129.8,0.0,Internal BUY USDT
TX-INT-1061,2023-10-01T05:05:00Z,TRANSFER_OUT,DOT,89.2773,2807.07,0.0,Internal TRANSFER_OUT DOT
TX-INT-1062,2023-10-01T05:10:00Z,TRANSFER_IN,SOL,98.9185,34427.99,0.0,Internal TRANSFER_IN SOL
TX-INT-1063,2023-10-01T05:15:00Z,SELL,ADA,63.2852,30538.96,0.0,Internal SELL ADA
TX-INT-1064,2023-10-01T05:20:00Z,TRANSFER_OUT,ETH,41.4382,25411.76,0.0,Internal TRANSFER_OUT ETH
TX-INT-1065,2023-10-01T05:25:00Z,TRANSFER_IN,DOT,89.0364,27008.13,0.0,Internal TRANSFER_IN DOT
TX-INT-1066,2023-10-01T05:30:00Z,TRANSFER_OUT,ETH,17.7295,47543.37,0.0,Internal TRANSFER_OUT ETH
TX-INT-1067,2023-10-01T05:35:00Z,TRANSFER_IN,SOL,10.8439,42641.2,0.0,Internal TRANSFER_IN SOL
TX-INT-1069,2023-10-01T05:45:00Z,SELL,BTC,48.9459,41367.77,0.0,Internal SELL BTC
TX-INT-1070,2023-10-01T05:50:00Z,SELL,USDT,47.6179,19152.31,0.0,Internal SELL USDT
TX-INT-1071,2023-10-01T05:55:00Z,TRANSFER_OUT,ADA,75.5891,15354.7,0.0,Internal TRANSFER_OUT ADA
TX-INT-1072,2023-10-01T06:00:00Z,TRANSFER_IN,ETH,99.8706,21824.06,0.0,Internal TRANSFER_IN ETH
TX-INT-1073,2023-10-01T06:05:00Z,TRANSFER_OUT,DOT,53.2372,5059.1,0.0,Internal TRANSFER_OUT DOT
TX-INT-1074,2023-10-01T06:10:00Z,TRANSFER_OUT,SOL,21.5862,47894.51,0.0,Internal TRANSFER_OUT SOL
TX-INT-1075,2023-10-01T06:15:00Z,TRANSFER_OUT,ETH,85.1916,31015.33,0.0,Internal TRANSFER_OUT ETH
TX-INT-1076,2023-10-01T06:20:00Z,SELL,BTC,79.9315,9060.97,0.0,Internal SELL BTC
TX-INT-1077,2023-10-01T06:25:00Z,SELL,BTC,27.0029,36236.15,0.0,Internal SELL BTC
TX-INT-1079,2023-10-01T06:35:00Z,TRANSFER_IN,BTC,48.0833,46852.58,0.0,Internal TRANSFER_IN BTC
TX-INT-1080,2023-10-01T06:40:00Z,TRANSFER_IN,USDT,24.1388,15812.32,0.0,Internal TRANSFER_IN USDT
TX-INT-1081,2023-10-01T06:45:00Z,TRANSFER_IN,BTC,23.7463,35822.78,0.0,Internal TRANSFER_IN BTC
TX-INT-1082,2023-10-01T06:50:00Z,SELL,ETH,75.4875,1152.24,0.0,Internal SELL ETH
TX-INT-1083,2023-10-01T06:55:00Z,TRANSFER_IN,USDT,36.8187,6570.48,0.0,Internal TRANSFER_IN USDT
TX-INT-1084,2023-10-01T07:00:00Z,BUY,ADA,42.2121,43336.4,0.0,Internal BUY ADA
TX-INT-1085,2023-10-01T07:05:00Z,BUY,ADA,65.3801,430.99,0.0,Internal BUY ADA
TX-INT-1086,2023-10-01T07:10:00Z,TRANSFER_OUT,SOL,43.1053,39009.54,0.0,Internal TRANSFER_OUT SOL
TX-INT-1087,2023-10-01T07:15:00Z,SELL,BTC,93.2515,42856.62,0.0,Internal SELL BTC
TX-INT-1089,2023-10-01T07:25:00Z,TRANSFER_IN,DOT,78.5598,8388.46,0.0,Internal TRANSFER_IN DOT
TX-INT-1090,2023-10-01T07:30:00Z,SELL,ETH,86.3683,8056.23,0.0,Internal SELL ETH
TX-INT-1091,2023-10-01T07:35:00Z,SELL,ETH,5.2327,44737.59,0.0,Internal SELL ETH
TX-INT-1092,2023-10-01T07:40:00Z,TRANSFER_IN,DOT,68.1554,17226.33,0.0,Internal TRANSFER_IN DOT
TX-INT-1093,2023-10-01T07:45:00Z,TRANSFER_IN,SOL,38.2978,5594.14,0.0,Internal TRANSFER_IN SOL
TX-INT-1094,2023-10-01T07:50:00Z,TRANSFER_OUT,DOT,0.8148,2849.41,0.0,Internal TRANSFER_OUT DOT
TX-INT-1095,2023-10-01T07:55:00Z,TRANSFER_IN,DOT,31.7507,16713.84,0.0,Internal TRANSFER_IN DOT
TX-INT-1096,2023-10-01T08:00:00Z,TRANSFER_OUT,DOT,49.0126,10045.0,0.0,Internal TRANSFER_OUT DOT
TX-INT-1097,2023-10-01T08:05:00Z,BUY,SOL,3.2725,38978.21,0.0,Internal BUY SOL
TX-INT-1098,2023-10-01T08:10:00Z,SELL,DOT,44.433,20239.01,0.0,Internal SELL DOT
TX-INT-1099,2023-10-01T08:15:00Z,TRANSFER_IN,SOL,37.4448,15617.57,0.0,Internal TRANSFER_IN SOL
